t[Ts]	C_l(t)	C_h(t)	N_l(t)	N_h(t)	E_l(t)	E_h(t)	A_LL(t)	A_HL(t)	A_HH(t)	A_L(t)	A_H(t)	A(t)
11099999.230919987	96.2669	38.4547	0.575872	0.551887	0	0	0	0	0	0	0	0
11200006.152640104	96.4978	38.2237	0.583141	0.554779	0	0	0	0	0	0	0	0
11299999.814359996	96.7259	37.9956	0.590427	0.557653	0	0	0	0	0	0	0	0
11400006.736080116	96.9513	37.7703	0.59773	0.56051	0	0	0	0	0	0	0	0
11500000.397800008	97.1738	37.5477	0.60505	0.56335	0	0	0	0	0	0	0	0
11599994.059519898	97.3937	37.3279	0.612387	0.566173	0	0	0	0	0	0	0	0
11700000.981240015	97.6109	37.1107	0.61974	0.56898	0	0	0	0	0	0	0	0
11799994.642959908	97.8255	36.896	0.627109	0.57177	0	0	0	0	0	0	0	0
11900001.564680029	98.0376	36.684	0.634495	0.574545	0	0	0	0	0	0	0	0
11999995.226399919	98.2472	36.4744	0.641896	0.577303	0	0	0	0	0	0	0	0
12100002.148120036	98.4543	36.2673	0.649313	0.580046	0	0	0	0	0	0	0	0
12199995.809839927	98.659	36.0626	0.656746	0.582774	0	0	0	0	0	0	0	0
12300002.731560048	98.8613	35.8603	0.664194	0.585486	0	0	0	0	0	0	0	0
12399996.393279938	99.0613	35.6603	0.671657	0.588183	0	0	0	0	0	0	0	0
12500003.315000057	99.259	35.4626	0.679135	0.590864	0	0	0	0	0	0	0	0
12599996.97671995	99.4544	35.2671	0.686628	0.593531	0	0	0	0	0	0	0	0
12700003.898440065	99.6477	35.0739	0.694136	0.596184	0	0	0	0	0	0	0	0
12799997.560159957	99.8387	34.8828	0.701658	0.598822	0	0	0	0	0	0	0	0
12900004.481880076	100.028	34.6939	0.709194	0.601445	0	0	0	0	0	0	0	0
12999998.14359997	100.215	34.507	0.716745	0.604055	0	0	0	0	0	0	0	0
13100005.065320086	100.399	34.3223	0.72431	0.60665	0	0	0	0	0	0	0	0
13199998.727039978	100.582	34.1395	0.731888	0.609231	0	0	0	0	0	0	0	0
13300045.428760782	100.763	33.9588	0.73948	0.611799	0	0	0	0	0	0	0	0
13400025.830480445	100.942	33.78	0.747086	0.614353	0	0	0	0	0	0	0	0
13500006.232200107	101.118	33.6031	0.754705	0.616894	0	0	0	0	0	0	0	0
13599986.63391977	101.293	33.4281	0.762338	0.619422	0	0	0	0	0	0	0	0
13699967.035639435	101.467	33.255	0.769983	0.621936	0	0	0	0	0	0	0	0
