Mass	Radius	phi	RhoND	Temp	Rho	Pres	Lumi	H1	He4	He3	C12	C13	N14	N15	O16	O17	O18	Ne	Na	Mg	Al	Si	P	S	Cl	Ar	K	Ca	Sc	Ti	V	Cr	Mn	Fe	Co	Ni
0.5767963	0.28600000000000003	3.0625381766646544	10.096051311918242	6994000.0	14.22	1.35e+16	0.99639	0.72125	0.26079	0.003168	0.002632	3.206e-05	0.0007786000000000001	1.913e-06	0.006442	2.6030000000000003e-06	1.56e-05	0.001416	3.541e-05	0.0006812000000000001	6.007e-05	0.0007518	6.896000000000001e-06	0.0003746000000000001	4.98e-06	7.542e-05	3.888e-06	6.464e-05	4.172e-08	3.218e-06	3.843e-07	1.877e-05	1.372e-05	0.001302	3.614e-06	7.694e-05
0.5780276999999999	0.2865	3.0590147518889235	10.039252148419404	6983000.0	14.14	1.34e+16	0.99644	0.7213	0.26075	0.003147	0.002632	3.205e-05	0.0007785	1.913e-06	0.006442	2.6030000000000003e-06	1.56e-05	0.001416	3.541e-05	0.0006812000000000001	6.007e-05	0.0007517	6.895e-06	0.0003746000000000001	4.98e-06	7.542e-05	3.888e-06	6.464e-05	4.172e-08	3.218e-06	3.843e-07	1.877e-05	1.372e-05	0.001302	3.613e-06	7.694e-05
0.5792592	0.287	3.0554961156022	9.989552880357921	6972000.0	14.07	1.331e+16	0.99649	0.72136	0.26072	0.0031260000000000003	0.002631	3.204e-05	0.0007785	1.913e-06	0.006441	2.602e-06	1.56e-05	0.001416	3.541e-05	0.0006811	6.006e-05	0.0007517	6.895e-06	0.0003746000000000001	4.98e-06	7.541e-05	3.888e-06	6.463e-05	4.172e-08	3.218e-06	3.843e-07	1.877e-05	1.372e-05	0.001302	3.613e-06	7.694e-05
0.5804906999999999	0.2875	3.0519822555406155	9.932753716859086	6961000.0	13.99	1.321e+16	0.99654	0.72142	0.26068	0.003105	0.002631	3.204e-05	0.0007784	1.913e-06	0.006441	2.602e-06	1.56e-05	0.001416	3.54e-05	0.0006811	6.006e-05	0.0007516000000000001	6.895e-06	0.0003746000000000001	4.979e-06	7.541e-05	3.888e-06	6.463e-05	4.172e-08	3.218e-06	3.842e-07	1.877e-05	1.372e-05	0.001302	3.613e-06	7.693e-05
0.5817220999999999	0.28800000000000003	3.0484731600851744	9.875954553360248	6950000.0	13.91	1.312e+16	0.99659	0.72147	0.26065	0.003084	0.002631	3.203e-05	0.0007784	1.913e-06	0.006441	2.602e-06	1.559e-05	0.001416	3.54e-05	0.0006811	6.006e-05	0.0007516000000000001	6.894e-06	0.0003746000000000001	4.979e-06	7.541e-05	3.887e-06	6.463e-05	4.171e-08	3.218e-06	3.842e-07	1.877e-05	1.372e-05	0.001302	3.613e-06	7.693e-05
0.5829536	0.2885	3.0449688173521565	9.819155389861411	6939000.0	13.83	1.303e+16	0.99664	0.72153	0.26061	0.003062	0.002631	3.202e-05	0.0007783	1.913e-06	0.00644	2.602e-06	1.559e-05	0.001416	3.54e-05	0.000681	6.006e-05	0.0007516000000000001	6.894e-06	0.0003745	4.979e-06	7.54e-05	3.887e-06	6.462e-05	4.171e-08	3.217e-06	3.842e-07	1.877e-05	1.372e-05	0.001302	3.613e-06	7.692e-05
0.5841850000000001	0.289	3.0414692154934038	9.769456121799928	6929000.0	13.76	1.293e+16	0.99669	0.72159	0.26058000000000003	0.003041	0.002631	3.201e-05	0.0007782	1.913e-06	0.00644	2.602e-06	1.559e-05	0.001416	3.54e-05	0.000681	6.005e-05	0.0007515	6.894e-06	0.0003745	4.979e-06	7.54e-05	3.887e-06	6.462e-05	4.171e-08	3.217e-06	3.842e-07	1.877e-05	1.372e-05	0.001301	3.613e-06	7.692e-05
0.5854056	0.2895	3.0379743752143167	9.712656958301093	6918000.0	13.68	1.284e+16	0.99674	0.72164	0.26055	0.003018	0.002631	3.201e-05	0.0007782	1.912e-06	0.006439	2.601e-06	1.559e-05	0.001416	3.54e-05	0.000681	6.005e-05	0.0007515	6.893e-06	0.0003745	4.9780000000000005e-06	7.539e-05	3.887e-06	6.462e-05	4.171e-08	3.217e-06	3.842e-07	1.877e-05	1.372e-05	0.001301	3.612e-06	7.692e-05
0.5866223	0.29	3.0344843283277294	9.655857794802255	6907000.0	13.6	1.275e+16	0.99678	0.7217	0.26052	0.002994	0.00263	3.2e-05	0.0007781000000000001	1.912e-06	0.006439	2.601e-06	1.559e-05	0.001415	3.54e-05	0.0006809	6.005e-05	0.0007515	6.893e-06	0.0003745	4.9780000000000005e-06	7.539e-05	3.887e-06	6.461e-05	4.171e-08	3.217e-06	3.841e-07	1.877e-05	1.372e-05	0.001301	3.612e-06	7.691e-05
0.587839	0.2905	3.030999074168212	9.606158526740773	6897000.0	13.53	1.266e+16	0.99683	0.72175	0.26049	0.00297	0.00263	3.2e-05	0.0007781000000000001	1.912e-06	0.006437999999999999	2.601e-06	1.559e-05	0.001415	3.539e-05	0.0006809	6.004e-05	0.0007513999999999999	6.893e-06	0.0003745	4.9780000000000005e-06	7.539e-05	3.8860000000000006e-06	6.461e-05	4.17e-08	3.217e-06	3.841e-07	1.877e-05	1.372e-05	0.001301	3.612e-06	7.691e-05
0.5890556	0.29100000000000004	3.027518600733796	9.549359363241937	6886000.0	13.45	1.257e+16	0.99687	0.7218100000000001	0.26046	0.0029460000000000003	0.00263	3.199e-05	0.000778	1.912e-06	0.006437999999999999	2.601e-06	1.559e-05	0.001415	3.539e-05	0.0006809	6.004e-05	0.0007513999999999999	6.892e-06	0.0003745	4.9780000000000005e-06	7.538e-05	3.8860000000000006e-06	6.461e-05	4.17e-08	3.217e-06	3.841e-07	1.876e-05	1.372e-05	0.001301	3.612e-06	7.691e-05
0.5902723000000001	0.2915	3.024042895768083	9.499660095180454	6875000.0	13.38	1.248e+16	0.99691	0.7218600000000001	0.26043	0.002922	0.00263	3.198e-05	0.000778	1.912e-06	0.006437999999999999	2.601e-06	1.559e-05	0.001415	3.539e-05	0.0006808	6.004e-05	0.0007513	6.892e-06	0.0003744	4.977e-06	7.538e-05	3.8860000000000006e-06	6.459999999999998e-05	4.17e-08	3.217e-06	3.841e-07	1.876e-05	1.372e-05	0.001301	3.612e-06	7.69e-05
0.5914733	0.292	3.0205719927946184	9.442860931681619	6865000.0	13.3	1.239e+16	0.99695	0.72191	0.2604	0.002896	0.00263	3.198e-05	0.000778	1.912e-06	0.006437000000000001	2.601e-06	1.559e-05	0.001415	3.539e-05	0.0006808	6.004e-05	0.0007513	6.892e-06	0.0003744	4.977e-06	7.538e-05	3.8860000000000006e-06	6.459999999999998e-05	4.17e-08	3.216e-06	3.841e-07	1.876e-05	1.372e-05	0.001301	3.612e-06	7.69e-05
0.5926732	0.2925	3.0171059285744883	9.393161663620136	6854000.0	13.23	1.231e+16	0.99699	0.72197	0.26038	0.00287	0.00263	3.197e-05	0.0007779	1.912e-06	0.006437000000000001	2.6e-06	1.558e-05	0.001415	3.539e-05	0.0006808	6.003e-05	0.0007513	6.892e-06	0.0003744	4.977e-06	7.538e-05	3.8860000000000006e-06	6.459999999999998e-05	4.17e-08	3.216e-06	3.841e-07	1.876e-05	1.372e-05	0.001301	3.611e-06	7.69e-05
0.5938730999999999	0.293	3.0136446935426715	9.343462395558653	6844000.0	13.16	1.222e+16	0.99703	0.72202	0.26035	0.002844	0.002629	3.197e-05	0.0007779	1.912e-06	0.006437000000000001	2.6e-06	1.558e-05	0.001415	3.539e-05	0.0006808	6.003e-05	0.0007513	6.8910000000000014e-06	0.0003744	4.977e-06	7.537e-05	3.8860000000000006e-06	6.459999999999998e-05	4.17e-08	3.216e-06	3.841e-07	1.876e-05	1.371e-05	0.001301	3.611e-06	7.69e-05
0.595073	0.2935	3.010188274944189	9.286663232059816	6833000.0	13.08	1.213e+16	0.99706	0.72207	0.26032	0.002818	0.002629	3.196e-05	0.0007777999999999999	1.912e-06	0.006436	2.6e-06	1.558e-05	0.001415	3.539e-05	0.0006808	6.003e-05	0.0007513	6.8910000000000014e-06	0.0003744	4.977e-06	7.537e-05	3.8860000000000006e-06	6.459999999999998e-05	4.17e-08	3.216e-06	3.84e-07	1.876e-05	1.371e-05	0.001301	3.611e-06	7.689e-05
